Cells	Accuracy
32	0.9164582651541455
50	0.9228438218130158
64	0.9233779840999179
128	0.9219107950631991
200	0.9261287998879093
256	0.9248686099417822
2-64	0.9160865989072418
2-128	0.9189535935110821

F1 
32	0.06887164062524208
50	0.06954236656408352
64	0.06961632756418805
128	0.06968249958175048
200	0.07008611374697618
256	0.06999218837854049
2-64	0.06909765000068517
2-128	0.069502968127015
